country_id,pdi,idv,mas,uai,ltowvs,ivr
ad,,,,,,
al,,,,,61,15
am,,,,,61,
at,11,55,79,70,60,63
au,38,90,61,51,21,71
az,,,,,61,22
ba,,,,,70,44
be,65,75,54,94,82,57
bg,70,30,40,85,69,16
by,,,,,81,15
ch,34,68,70,58,74,66
cs,,,,,,
cy,,,,,,70
cz,57,58,57,74,70,29
de,35,67,66,65,83,40
dk,18,74,16,23,35,70
ee,40,60,30,60,82,16
es,57,51,42,86,48,44
fi,33,63,26,59,38,57
fr,68,71,43,86,63,48
gb,35,89,66,35,51,69
ge,,,,,38,32
gr,60,35,57,112,45,50
hr,73,33,40,80,58,33
hu,46,80,88,82,58,31
ie,28,70,68,35,24,65
il,,,,,,
is,,,,,28,67
it,50,76,70,75,61,30
lt,42,60,19,65,82,16
lu,40,60,50,70,64,56
lv,44,70,9,63,69,13
ma,70,46,53,68,14,25
mc,,,,,,
md,,,,,71,19
me,,,,,75,20
mk,,,,,62,35
mt,56,59,47,96,47,66
nl,38,80,14,53,67,68
no,31,69,8,50,35,55
pl,68,60,64,93,38,29
pt,63,27,31,104,28,33
ro,90,30,42,90,52,20
rs,86,25,43,92,52,28
ru,93,39,36,95,81,20
se,31,71,5,29,53,78
si,71,27,19,88,49,48
sk,104,52,110,51,77,28
sm,,,,,,
tr,66,37,45,85,46,49
ua,,,,,86,14
yu,,,,,,
